,IDENTIFIER: name,CLASSIFICATION: Component Type,PREPARATION STEP NAME,PROPERTY: Ref No,PROPERTY: CAS No,PROPERTY: EC No,PROPERTY: Description,PROPERTY: Regulations,PROPERTY: Function,PROPERTY: SMILES,PROPERTY: PRICE,PROPERTY: Substantivity,PROPERTY: Odor Strength,PROPERTY: Clean,PROPERTY: Floral,PROPERTY: Rose,PROPERTY: Medicinal,PROPERTY: Phenolic,PROPERTY: Spicy,PROPERTY: Sweet,PROPERTY: Vanilla,PROPERTY: Herbal,PROPERTY: Citrus,PROPERTY: Metallic,PROPERTY: Musk,PROPERTY: Sulfurous,PROPERTY: Bitter,PROPERTY: Regulatory Code
28,METHYLOCTENOL,PHENOLS,Procure PHENOLS,40747.0, 24089-00-7, 246-015-8,3-Methyloct-1-en-3-ol,,PERFUMING,CCCCCC(C)(O)C=C,19.95711874,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
29,2-DECENOL,PHENOLS,Procure PHENOLS,39506.0, 22104-80-9, 244-784-4,2-Decenol,,PERFUMING,CCCCCCCC=CCO,56.3342753,265.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
30,"2,3,6-TRIMETHYLPHENOL",PHENOLS,Procure PHENOLS,41239.0, 2416-94-6, 219-330-3,"2,3,6-Trimethylphenol",,PERFUMING,Cc1ccc(C)c(O)c1C,90.0831396,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
31,4-METHYLPENTAN-2-OL,PHENOLS,Procure PHENOLS,40762.0, 108-11-2, 203-551-7,4-Methylpentan-2-ol,,PERFUMING,CC(C)CC(C)O,21.55555371,,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
32,DIMETHYLPHENYL CARBINOL,PHENOLS,Procure PHENOLS,39659.0, 617-94-7, 210-539-5,2-Phenylpropan-2-ol,,PERFUMING,CC(C)(O)c1ccccc1,23.31987259,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
33,2-HEXENOL,PHENOLS,Procure PHENOLS,40189.0, 2305-21-7, 218-972-1,Hex-2-en-1-ol,,PERFUMING,CCCC=CCO,96.23523276,4.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
34,AMYL ALCOHOL,PHENOLS,Procure PHENOLS,39026.0, 71-41-0, 200-752-1,Pentan-1-ol,,PERFUMING,CCCCCO,84.58574846,,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
35,D-TRIMETHYL-3-CYCLOHEXENE-1-METHANOL,PHENOLS,Procure PHENOLS,41188.0, 7785-53-7, 232-081-5,"(R)-alpha,alpha,4-Trimethylcyclohex-3-ene-1-methanol",,PERFUMING,CC1=CC[C@@H](CC1)C(C)(C)O,45.18837336,,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
36,PINACOL,PHENOLS,Procure PHENOLS,41017.0, 76-09-5, 200-933-5,"2,3-Dimethyl-2,3-butanediol",,PERFUMING,CC(C)(O)C(C)(C)O,55.12656663,400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
37,PHENYLPENTANOL,PHENOLS,Procure PHENOLS,40638.0, 10521-91-2, 234-064-8,5-Phenylpentan-1-ol,,PERFUMING,OCCCCCc1ccccc1,33.83598718,,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
38,2-METHYLFURAN-3-THIOL,PHENOLS,Procure PHENOLS,40680.0, 28588-74-1, 249-094-7,2-Methylfuran-3-thiol,,PERFUMING,Cc1occc1S,67.77931347,,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
39,"ALPHA,ALPHA-DIMETHYL-VINYL-O-MENTHENEMETHANOL",PHENOLS,Procure PHENOLS,39261.0, 639-99-6, 211-360-5,"(1S,2S,4R)-(-)-alpha,alpha-Dimethyl-1-vinyl-o-menth-8-ene-4-methanol",,PERFUMING,CC(=C)[C@@H]1C[C@@H](CC[C@@]1(C)C=C)C(C)(C)O,43.59657317,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
40,2-METHYLBUTANE-2-THIOL,PHENOLS,Procure PHENOLS,40454.0, 1679-09-0, 216-843-4,2-Methylbutane-2-thiol,,PERFUMING,CCC(C)(C)S,32.76360223,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
0,WATER,SOLVENT,Procure SOLVENT,,,,,,,,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
1,ETHYL ALCOHOL,SOLVENT,Procure SOLVENT,,,,,,,,0.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
