,IDENTIFIER: name,CLASSIFICATION: Component Type,PREPARATION STEP NAME,PROPERTY: Ref No,PROPERTY: CAS No,PROPERTY: EC No,PROPERTY: Description,PROPERTY: Regulations,PROPERTY: Function,PROPERTY: SMILES,PROPERTY: PRICE,PROPERTY: Substantivity,PROPERTY: Odor Strength,PROPERTY: Clean,PROPERTY: Floral,PROPERTY: Rose,PROPERTY: Medicinal,PROPERTY: Phenolic,PROPERTY: Spicy,PROPERTY: Sweet,PROPERTY: Vanilla,PROPERTY: Herbal,PROPERTY: Citrus,PROPERTY: Metallic,PROPERTY: Musk,PROPERTY: Sulfurous,PROPERTY: Bitter,PROPERTY: Regulatory Code
10,CIS-3-HEPTENYL ACETATE,ACETATE,Procure ACETATE,40125.0, 1576-78-9, 216-412-0,(Z)-Hept-3-enyl acetate,,PERFUMING,CCC\C=C/CCOC(C)=O,8.465460861,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
11,9-DECENYL ACETATE,ACETATE,Procure ACETATE,39508.0, 50816-18-7, 256-784-1,9-Decenyl acetate,,PERFUMING,CC(=O)OCCCCCCCCC=C,21.68962893,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
12,M-CRESYL ACETATE,ACETATE,Procure ACETATE,39391.0, 122-46-3, 204-546-2,3-Methylphenyl acetate,,PERFUMING,CC(=O)Oc1cccc(C)c1,13.83354371,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
13,BENZYL ACETATE,ACETATE,Procure ACETATE,74484.0, 140-11-4, 205-399-7,Methyl Phenylacetate; Methyl alpha-Toluate ,,"MASKING, PERFUMING",COC(=O)Cc1ccccc1.COC(=O)Cc2ccccc2,1.428738941,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
14,1-METHYLDECYL ACETATE,ACETATE,Procure ACETATE,40661.0, 14936-67-5, 239-011-2,1-Methyldecyl acetate,,PERFUMING,CCCCCCCCCC(C)OC(C)=O,24.45077109,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
15,TETRAHYDROMUGYL ACETATE,ACETATE,Procure ACETATE,41041.0, 20780-48-7, 244-033-0,"3,7-Dimethyloctan-3-yl acetate",,PERFUMING,CCC(C)(CCCC(C)C)OC(C)=O,1.616813566,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
16,ISOPENTYL CYCLOHEXYL ACETATE,ACETATE,Procure ACETATE,87080.0, 67874-72-0 , 267-500-0,2-tert-Pentylcyclohexyl acetate; Amylcyclohexyl acetate ,,"MASKING, PERFUMING",CCCCCC1(CCCCC1)OC(C)=O.CCC(C)(C)C2CCCCC2OC(C)=O,17.14219434,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
17,METHYL CYCLOPENTYLIDENEACETATE,ACETATE,Procure ACETATE,40656.0, 40203-73-4, 254-837-3,Methyl cyclopentylideneacetate,,PERFUMING,COC(=O)C=C1CCCC1,15.03125345,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
18,ETHYL CYCLOHEXYLACETATE,ACETATE,Procure ACETATE,39843.0, 5452-75-5, 226-695-2,Ethyl cyclohexylacetate,,PERFUMING,CCOC(=O)CC1CCCCC1,24.173077,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
19,A-TERPINYL ACETATE,ACETATE,Procure ACETATE,41121.0, 80-26-2, 201-265-7,p-Menth-1-en-8-yl acetate; 1-Methyl-1-(4-methylcyclohex-3-enyl)ethyl ethanoate,,PERFUMING,CC(=O)OC(C)(C)C1CCC(=CC1)C.CC(=O)OC(C)(C)C2CCC(=CC2)C,19.43769978,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
20,"2,4-HEXADIENYL ACETATE",ACETATE,Procure ACETATE,40143.0, 1516-17-2, 216-163-8,"Hexa-2,4-dienyl acetate",,PERFUMING,CC=CC=CCOC(C)=O,6.15906328,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
21,ETHYL PHENYLACETATE,ACETATE,Procure ACETATE,33847.0, 101-97-3, 202-993-8,Ethyl phenylacetate,,PERFUMING,CCOC(=O)Cc1ccccc1,6.268424058,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
22,LAURYL ACETATE,ACETATE,Procure ACETATE,39775.0, 112-66-3, 203-995-1,Dodecyl acetate,,PERFUMING,CCCCCCCCCCCCOC(C)=O,23.73839884,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
23,ISOPROPYL-METHYLHEXENYL ACETATE,ACETATE,Procure ACETATE,39727.0, 74912-37-1, 278-019-0,2-Isopropyl-5-methylhex-4-enyl acetate,,PERFUMING,CC(C)C(COC(C)=O)CC=C(C)C,18.84336493,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
24,M-TOLYL PHENYLACETATE,ACETATE,Procure ACETATE,41141.0, 122-27-0, 204-531-0,m-Cresyl phenylacetate,,PERFUMING,Cc1cccc(OC(=O)Cc2ccccc2)c1,6.160748017,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
25,"3,5-DIMETHYLCYCLOHEXYLMETHYL ACETATE",ACETATE,Procure ACETATE,39620.0, 68213-86-5, 269-269-1,"3,5-Dimethylcyclohexylmethyl acetate",,PERFUMING,CC1CC(C)CC(COC(C)=O)C1,6.093570644,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
26,P-TOLYL PHENYLACETATE,ACETATE,Procure ACETATE,41142.0, 101-94-0, 202-990-1,p-Cresyl phenylacetate,,PERFUMING,Cc1ccc(OC(=O)Cc2ccccc2)cc1,9.768496202,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
27,P-TERT-BUTYLPHENYL ACETATE,ACETATE,Procure ACETATE,39161.0, 3056-64-2, 221-288-6,p-tert-Butylphenyl Acetate,,PERFUMING,CC(=O)Oc1ccc(cc1)C(C)(C)C,8.29082402,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
28,10-UNDECENYL ACETATE,ACETATE,Procure ACETATE,41275.0, 112-19-6, 203-944-3,Undec-10-enyl acetate,,PERFUMING,CC(=O)OCCCCCCCCCC=C,7.839892846,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
29,METHYLCYCLOHEXENYL-BUTENYL ACETATE,ACETATE,Procure ACETATE,40472.0, 6819-19-8, 229-894-2,3-(4-Methylcyclohex-3-enyl)but-3-enyl acetate,,PERFUMING,CC(=O)OCCC(=C)C1CCC(=CC1)C,6.528610552,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
30,ISOTRIDECYL ACETATE,ACETATE,Procure ACETATE,39749.0, 69103-23-7, 273-872-5,Isotridecyl Acetate,,PERFUMING,CC(C)CCCCCCCCCCOC(C)=O,4.876769584,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
31,TRIMETHYLDODECATRIEN-3-YL ACETATE,ACETATE,Procure ACETATE,41218.0, 2306-78-7, 218-978-4,"3,7,11-Trimethyldodeca-1,6,10-trien-3-yl acetate",,PERFUMING,CC(C)=CCCC(C)=CCCC(C)(OC(C)=O)C=C,9.859590235,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
32,ETHYL MYRISTATE,ACETATE,Procure ACETATE,76074.0, 124-06-1, 204-675-4,Ethyl myristate,,"EMOLLIENT, MASKING, PERFUMING, SKIN CONDITIONING",CCCCCCCCCCCCCC(=O)OCC,13.00022632,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
33,5-MELOZOL ACETATE,ACETATE,Procure ACETATE,40056.0, 64001-15-6, 264-598-7,"Octahydro-4,7-methano-1H-inden-5-yl acetate",,PERFUMING,CC(=O)OC1CC2CC1C3CCCC23,4.895917379,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
34,ETHYL LACTATE,ACETATE,Procure ACETATE,33827.0, 97-64-3, 202-598-0,"Propanoic acid, 2-hydroxy-, ethyl ester",,"PERFUMING, SOLVENT",CCOC(=O)C(C)O,19.64585064,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
35,ETHYL PHENOXYACETATE,ACETATE,Procure ACETATE,39920.0, 2555-49-9, 219-867-3,Ethyl phenoxyacetate,,PERFUMING,CCOC(=O)COc1ccccc1,6.410858533,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
36,"2,3,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE",ACETATE,Procure ACETATE,41205.0, 67801-27-8, 267-147-2,"2,3,6-Trimethylcyclohexylmethyl acetate",,PERFUMING,CC1CCC(C)C(COC(C)=O)C1C,18.873752,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
37,PHENETHYL PHENYLACETATE,ACETATE,Procure ACETATE,40609.0, 102-20-5, 203-013-1,Phenylethyl phenylacetate,,PERFUMING,O=C(Cc1ccccc1)OCCc2ccccc2,5.781787481,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
38,ISOPROPYL PHENYLACETATE,ACETATE,Procure ACETATE,39739.0, 4861-85-2, 225-468-5,Isopropyl phenylacetate,,PERFUMING,CC(C)OC(=O)Cc1ccccc1,10.32149074,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
39,DIMETHYL PHENYLETHYL CARBINYL ACETATE,ACETATE,Procure ACETATE,39662.0, 103-07-1, 203-077-0,"1,1-Dimethyl-3-phenylpropyl Acetate",,PERFUMING,CC(=O)OC(C)(C)CCc1ccccc1,23.17194235,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
40,CYCLOHEXYL CYCLOPENTENEACETATE,ACETATE,Procure ACETATE,39437.0, 65405-69-8, 265-740-0,Cyclohexyl cyclopent-2-ene-1-acetate,,PERFUMING,O=C(CC1CCC=C1)OC2CCCCC2,20.43160893,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
41,HEXYL ACETATE,ACETATE,Procure ACETATE,87440.0, 142-92-7, 205-572-7,Hexyl acetate,,"FLAVOURING, MASKING, PERFUMING",CCCCCCOC(C)=O,6.747519321,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
42,OCTYL ACETATE,ACETATE,Procure ACETATE,40531.0, 112-14-1, 203-939-6,Octyl acetate,,PERFUMING,CCCCCCCCOC(C)=O,5.106415276,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
43,CYCLODODECYL ACETATE,ACETATE,Procure ACETATE,39424.0, 6221-92-7, 228-297-4,Cyclododecyl Acetate,,PERFUMING,CC(=O)OC1CCCCCCCCCCC1,11.02689922,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
44,ETHYL PALMITATE,ACETATE,Procure ACETATE,76078.0, 628-97-7, 211-064-6,Ethyl palmitate,,"EMOLLIENT, PERFUMING",CCCCCCCCCCCCCCCC(=O)OCC,12.69347303,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
45,ETHYL ACETATE,ACETATE,Procure ACETATE,33805.0, 141-78-6, 205-500-4,Ethyl acetate,,"PERFUMING, SOLVENT",CCOC(C)=O,24.83522798,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
46,DIMETHYL-5-HEXENYL ACETATE,ACETATE,Procure ACETATE,39634.0, 38228-51-2, 253-840-7,"1,5-Dimethylhex-5-enyl acetate",,PERFUMING,CC(CCCC(C)=C)OC(C)=O,2.22897113,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
47,TRANS-3-HEPTENYL ACETATE,ACETATE,Procure ACETATE,40126.0, 1576-77-8, 216-411-5,(E)-Hept-3-enyl acetate,,PERFUMING,CCC/C=C/CCOC(C)=O,4.73819842,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
48,GAMMA-METHYLENEDIHYDROCINNAMYL ACETATE,ACETATE,Procure ACETATE,40675.0, 7306-12-9, 230-755-3,3-Phenylbut-3-enyl Acetate,,PERFUMING,CC(=O)OCCC(=C)c1ccccc1,19.43282607,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
49,PROPYL ACETATE,ACETATE,Procure ACETATE,37264.0, 109-60-4, 203-686-1,Propyl acetate,,"PERFUMING, SOLVENT",CCCOC(C)=O,24.27783124,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
0,PHENYLACETALDEHYDE,ALDEHYDE,Procure ALDEHYDE,41466.0, 122-78-1, 204-574-5,Phenylacetaldehyde,,PERFUMING,O=CCc1ccccc1,46.0,400.0,3.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,No Regulations
1,3-PHENYLBUTYRALDEHYDE,ALDEHYDE,Procure ALDEHYDE,40632.0, 16251-77-7, 240-362-9,3-Phenylbutyraldehyde,,PERFUMING,CC(CC=O)c1ccccc1,40.0,400.0,3.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,No Regulations
2,CINNAMALDEHYDE DIMETHYL ACETAL,ALDEHYDE,Procure ALDEHYDE,39314.0, 4364-06-1, 224-454-6,"(3,3-Dimethoxypropenyl)benzene",,PERFUMING,COC(OC)C=Cc1ccccc1,39.0,96.0,2.0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,No Regulations
3,AR-ISOPROPYLPHENYLACETALDEHYDE,ALDEHYDE,Procure ALDEHYDE,39190.0, 1335-44-0, 215-634-5,Ar-isopropylphenylacetaldehyde,,PERFUMING,CC(C)c1cccc(CC=O)c1,39.0,,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,1.0,No Regulations
4,BENZALDEHYDE PROPYLENEGLYCOL ACETAL,ALDEHYDE,Procure ALDEHYDE,39216.0, 2568-25-4, 219-906-4,"4-Methyl-2-phenyl-1,3-dioxolane; Benzaldehyde Propylene Acetal",,PERFUMING,CC1COC(O1)c2ccccc2.CC3COC(O3)c4ccccc4,41.0,48.0,2.0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,No Regulations
5,DECYLOXYACETALDEHYDE,ALDEHYDE,Procure ALDEHYDE,39514.0, 72894-07-6, 276-961-7,(Decyloxy)acetaldehyde,,PERFUMING,CCCCCCCCCCOCC=O,44.0,,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
6,ISOPROPYLPHENYL-PROPIONALDEHYDE,ALDEHYDE,Procure ALDEHYDE,39741.0, 34291-99-1, 251-920-6,2-(4-Isopropylphenyl)propionaldehyde,,PERFUMING,CC(C)c1ccc(cc1)C(C)C=O,48.0,,2.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,No Regulations
7,CINNAMALDEHYDE/METHYL ANTHRANILATE SCHIFF BASE,ALDEHYDE,Procure ALDEHYDE,41369.0, 94386-48-8, 305-271-1,Methyl 2-(cinnamylideneamino)benzoate,,PERFUMING,COC(=O)c1ccccc1N=CC=Cc2ccccc2,26.0,400.0,2.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,No Regulations
8,"2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE",ALDEHYDE,Procure ALDEHYDE,74061.0, 68039-49-6, 268-264-1,"2,4-dimethylcyclohex-3-ene-1-carbaldehyde",,"MASKING, PERFUMING, TONIC",CC1C=C(C)CCC1C=O,27.0,8.0,3.0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,0,No Regulations
9,METHYLOCTYL ACETALDEHYDE,ALDEHYDE,Procure ALDEHYDE,40749.0, 19009-56-4, 242-745-6,2-Methyldecan-1-al,,PERFUMING,CCCCCCCCC(C)C=O,30.0,172.0,3.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,No Regulations
10,BENZALDEHYDE DIMETHYLACETAL,ALDEHYDE,Procure ALDEHYDE,39214.0, 1125-88-8, 214-413-0,"Dimethoxymethylbenzene; alpha,alpha-Dimethoxytoluene",,PERFUMING,COC(OC)c1ccccc1.COC(OC)c2ccccc2,38.0,1.0,2.0,0,1.0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,No Regulations
11,VERNALDEHYDE,ALDEHYDE,Procure ALDEHYDE,41291.0, 66327-54-6, 266-314-7,1-Methyl-4-(4-methylpentyl)cyclohex-3-ene-1-carbaldehyde,,PERFUMING,CC(C)CCCC1=CCC(C)(CC1)C=O,49.0,116.0,2.0,1.0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,No Regulations
12,2-METHYLBUTYRALDEHYDE,ALDEHYDE,Procure ALDEHYDE,40461.0, 96-17-3, 202-485-6,2-Methylbutyraldehyde,,PERFUMING,CCC(C)C=O,46.0,1.0,3.0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,No Regulations
13,3-P-CUMENYL PROPIONALDEHYDE,ALDEHYDE,Procure ALDEHYDE,39409.0, 7775-00-0, 231-885-3,3-(p-Cumenyl)propionaldehyde; 3-(p-Isopropylphenyl)propanal,,PERFUMING,CC(C)c1ccc(CCC=O)cc1.CC(C)c2ccc(CCC=O)cc2,27.0,72.0,2.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,No Regulations
14,"2,6,6-TRIMETHYLCYCLOHEXENE-1-CARBALDEHYDE",ALDEHYDE,Procure ALDEHYDE,41185.0, 432-25-7, 207-081-3,"2,6,6-Trimethylcyclohexene-1-carbaldehyde",,PERFUMING,CC1=C(C=O)C(C)(C)CCC1,44.0,85.0,3.0,1.0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,No Regulations
15,ACETALDEHYDE ETHYL CIS-3-HEXENYL ACETAL,ALDEHYDE,Procure ALDEHYDE,39001.0, 28069-74-1, 248-817-3,(Z)-1-(1-Ethoxyethoxy)hex-3-ene,,PERFUMING,CCOC(C)OCC\C=C/CC,41.0,4.0,3.0,1.0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,No Regulations
16,2-METHYL-3-P-CRESYL-PROPIONALDEHYDE,ALDEHYDE,Procure ALDEHYDE,40469.0, 41496-43-9, 255-410-4,2-Methyl-3-(p-tolyl)propionaldehyde,,PERFUMING,CC(Cc1ccc(C)cc1)C=O,25.0,168.0,2.0,1.0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,No Regulations
17,BENZALDEHYDE,ALDEHYDE,Procure ALDEHYDE,74599.0, 100-52-7, 202-860-4,Benzaldehyde,,"DENATURANT, FLAVOURING, MASKING, PERFUMING",O=Cc1ccccc1,49.0,4.0,3.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,No Regulations
18,O-METHOXYCINNAMALDEHYDE,ALDEHYDE,Procure ALDEHYDE,40410.0, 1504-74-1, 216-131-3,2-Methoxycinnamaldehyde; 3-(2-Methoxyphenyl)-2-propenal,,PERFUMING,COc1ccccc1C=CC=O.COc2ccccc2C=CC=O,41.0,48.0,2.0,0,0,0,0,0,1.0,1.0,0,1.0,0,0,0,0,0,No Regulations
19,METHYLCINNAMIC ALDEHYDE,ALDEHYDE,Procure ALDEHYDE,40465.0, 101-39-3, 202-938-8,alpha-Methylcinnamaldehyde; 2-Methyl-3-phenyl-2-propenal; 3-Phenyl-2-methylacrolein,,PERFUMING,CC(C=O)=Cc1ccccc1.CC(C=O)=Cc2ccccc2.CC(C=O)=Cc3ccccc3,36.0,32.0,3.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
20,4-ETHYLBENZALDEHYDE,ALDEHYDE,Procure ALDEHYDE,39829.0, 4748-78-1, 225-268-8,4-Ethylbenzaldehyde,,PERFUMING,CCc1ccc(C=O)cc1,46.0,,2.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,No Regulations
21,M-TOLUALDEHYDE,ALDEHYDE,Procure ALDEHYDE,41138.0, 620-23-5, 210-632-0,3-Methyl-benzaldehyde,,PERFUMING,Cc1cccc(C=O)c1,37.0,2.0,2.0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,No Regulations
0,BAROSMA BETULINA LEAF OIL,OILS,Procure OILS,82906.0, 84649-93-4, 283-474-3,"Barosma Betulina Leaf Oil is the volatile oil expressed from the leaves of Barosma betulina, Rutaceae ",,PERFUMING,,84.0,,3.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,No Regulations
1,PIMENTA OFFICINALIS FRUIT OIL,OILS,Procure OILS,41012.0, 84929-57-7 / 8006-77-7, 284-540-4 / -,"Allspice Oil. Pimenta Officinalis Fruit Oil is an essential oil obtained from the fruits of the All Spice, Pimenta officinalis, syn. P. dioica, Myrtaceae",,PERFUMING,,8.0,,2.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,No Regulations
2,COMMIPHORA MYRRHA GUM OIL,OILS,Procure OILS,39377.0, 84929-26-0, 284-510-0,"Myrrh Oil; Heerabol. Commiphora Myrrha Gum Oil is an essential oil obtained from the gum-resin of the Myrrh, Commiphora myrrha, Burseraceae",,PERFUMING,,2.0,,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
3,PINUS PALUSTRIS TWIG LEAF OIL,OILS,Procure OILS,41480.0, 97435-14-8 / 8002-09-3, 306-895-7 / -,"Pinus Palustris Twig Leaf Oil is an essential oil obtained from the twigs leaves of the Swamp Pine, Pinus palustris, Pinaceae",III/112,PERFUMING,,98.0,,2.0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,III
4,JUNIPERUS MEXICANA WOOD OIL,OILS,Procure OILS,39761.0, 91722-61-1, 294-461-7,"Juniperus Mexicana Wood Oil is an essential oil obtained from the wood of the Juniper, Juniperus mexicana, Cupressaceae. Syn Cedarwood Texas",,PERFUMING,,14.0,,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,No Regulations
5,MYROCARPUS FRONDOSUS WOOD OIL,OILS,Procure OILS,40850.0, 91722-94-0, 294-497-3,"Myrocaepus Frondosus Wood Oil is an essential oil obtained from the wood of the plant, Myrocarpus frondosus, Leguminosae. Syn. Cabreuva oil",,PERFUMING,,60.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
6,IRIS PALLIDA ROOT OIL,OILS,Procure OILS,40307.0, 90045-90-2, 289-955-4,"Iris Pallida Root Oil is an essential oil obtained from the rhizomes of the plant of the Pale Flag, Iris pallida, Iridaceae",,PERFUMING,,34.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
7,PELARGONIUM CRISPUM LEAF OIL,OILS,Procure OILS,40555.0, 90082-46-5, 290-134-8,"Pelargonium Crispum Leaf Oil is an essential oil obtained from the leaves of the plant, Pelargonium crispum, Geraniaceae",,PERFUMING,,46.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
8,STYRAX BENZOIN RESIN OIL,OILS,Procure OILS,41498.0, 84929-79-3 / 84696-18-4, 284-557-7 / -,"Styrax Benzoin Resin Oil ia an essential oil obtained from the balsamic resin of the Benzoin, Styrax benzoin, Styracaceae",,PERFUMING,,82.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
9,SANTALUM SPICATA WOOD OIL,OILS,Procure OILS,41093.0, 8024-35-9, 296-618-5,"Santalum Spicata Wood Oil is an essential oil obtained from the wood of the Australian Sandalwood, Santalum spicata, Santalaceae. It contains 75% santalols and 10% farnesol",,PERFUMING,,19.0,,3.0,0,0,0,1.0,0,1.0,0,0,1.0,0,0,0,0,0,No Regulations
10,STYRAX TONKINENSIS RESIN OIL,OILS,Procure OILS,41500.0, 9000-72-0 / 84012-39-5 , 232-556-7 / 281-683-4 ,"Gum Benzoin Oil. Styrax Tonkinensis Resin Oil is a volatile oil obtained from the balsamic resin of the Tonkin Benzoin, Styrax tonkinensis, Styracaceae",,PERFUMING,,43.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
11,FOENICULUM VULGARE CAPILLACEUM FRUIT OIL,OILS,Procure OILS,39989.0, 92347-02-9, 296-188-9,"Fennel Oil. Foeniculum Vulgare Capillaceum Fruit Oil is the volatile oil steam-distilled from the dried fruits of the Fennel, Foeniculum vulgare capillaceum, Umbelliferae. It contains anethole (50-60%), fenchone (about 10%), pinene, limonene and phellandrene",,PERFUMING,,4.0,,3.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,No Regulations
12,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,OILS,Procure OILS,39318.0, 92704-03-5, 296-431-9,"Camphor Oil (Formosa or Japanese). Cinnamomum Camphora Formosana Leaf Oil Rectified is an essential oil obtained from the leaves of the Camphor Tree, Cinnamomum tzumu Helms, syn. C. camphora (L.) var. formosana, Lauraceae. It contains > 90% linalool",II/360 R3,PERFUMING,,49.0,,2.0,0,0,0,1.0,0,1.0,0,0,1.0,0,0,0,0,0,II
13,ARTEMISIA HERBA-ALBA HERB OIL,OILS,Procure OILS,39200.0, 84775-75-7, 283-905-5,"Artemisia Herba-Alba Herb Oil is an essential oil obtained from the whole herbs of the plant, Artemisia herba-alba, Compositae",,PERFUMING,,42.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
14,ROSMARINUS OFFICINALIS FLOWER OIL,OILS,Procure OILS,40978.0, 84604-14-8, 283-291-9,"Rosemary Oil. Rosmarinus Officinalis Flower Oil is an essential oil obtained from the leaves and fresh flowering tops of the Rosemary, Rosmarinus officinalis L., Lamiaceae",,PERFUMING,,70.0,,1.0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,No Regulations
15,HELICHRYSUM STOECHAS FLOWER OIL,OILS,Procure OILS,40111.0, 91845-22-6, 295-193-3,"Helichrysum Stoechas Flower Oil is an essential oil distilled from the flowers of the Eternal Flower, Helichrysum stoechas, Asteraceae
 ",,PERFUMING,,87.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
16,VITIS VINIFERA OIL,OILS,Procure OILS,41295.0, 8016-21-5 / 84929-27-1, 232-403-4 / 284-511-6,Cognac oil. Distilled from the residues of wine production. Syn. Lie di Vin oil,,PERFUMING,,95.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
17,TRIGONELLA FOENUM-GRAECUM SEED OIL,OILS,Procure OILS,41157.0, 84625-40-1, 283-415-1,"Trigonella Foenum-Graecum Seed Oil is an essential oil obtained from the seeds of the Fenugreek, Trigonella foenum-graecum L., Leguminosae",,PERFUMING,,33.0,,2.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,0,No Regulations
18,CYMBOPOGON NARDUS HERB OIL,OILS,Procure OILS,39469.0, 89998-15-2, 289-753-6,"Citronella Oil (Sri Lanka). Cymbopogon Nardus Herb Oil is an essential oil obtained from the herbs of the plant, Cymbopogon (syn: Andropogon) nardus (L.), Gramineae. The Ceylon citronella oil contains geraniol (about 60%), citronellal (about 15%), camphene, limonene, linalool, borneol. The Java citronella oil contains 25-50% citronellal, 25-45% geraniol",,PERFUMING,,68.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
19,CITRUS NOBILIS LEAF OIL,OILS,Procure OILS,41408.0, 84929-38-4, 284-521-0,"Citrus Nobilis Leaf Oil is an essential oil obtained from the leaves of the Mandarin, Citrus nobilis, Rutaceae. Mandarin petitgrain oil contains methyl N methyl anthranilate",,PERFUMING,,58.0,,1.0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,No Regulations
